Constant,Value
GL_INTENSITY16,32845
GL_INTENSITY4,32842
GL_INTENSITY8,32843
GL_INTERLEAVED_ATTRIBS,35980
GL_INTERNALFORMAT_ALPHA_SIZE,33396
GL_INTERNALFORMAT_ALPHA_TYPE,33403
GL_INTERNALFORMAT_BLUE_SIZE,33395
GL_INTERNALFORMAT_BLUE_TYPE,33402
GL_INTERNALFORMAT_DEPTH_SIZE,33397
GL_INTERNALFORMAT_DEPTH_TYPE,33404
GL_INTERNALFORMAT_GREEN_SIZE,33394
GL_INTERNALFORMAT_GREEN_TYPE,33401
GL_INTERNALFORMAT_PREFERRED,33392
GL_INTERNALFORMAT_RED_SIZE,33393
GL_INTERNALFORMAT_RED_TYPE,33400
GL_INTERNALFORMAT_SHARED_SIZE,33399
GL_INTERNALFORMAT_STENCIL_SIZE,33398
GL_INTERNALFORMAT_STENCIL_TYPE,33405
GL_INTERNALFORMAT_SUPPORTED,33391
GL_INT_2_10_10_10_REV,36255
GL_INT_IMAGE_1D,36951
GL_INT_IMAGE_1D_ARRAY,36957
GL_INT_IMAGE_2D,36952
GL_INT_IMAGE_2D_ARRAY,36958
GL_INT_IMAGE_2D_MULTISAMPLE,36960
GL_INT_IMAGE_2D_MULTISAMPLE_ARRAY,36961
GL_INT_IMAGE_2D_RECT,36954
GL_INT_IMAGE_3D,36953
GL_INT_IMAGE_BUFFER,36956
GL_INT_IMAGE_CUBE,36955
GL_INT_IMAGE_CUBE_MAP_ARRAY,36959
GL_INT_SAMPLER_1D,36297
GL_INT_SAMPLER_1D_ARRAY,36302
GL_INT_SAMPLER_2D,36298
GL_INT_SAMPLER_2D_ARRAY,36303
GL_INT_SAMPLER_2D_MULTISAMPLE,37129
GL_INT_SAMPLER_2D_MULTISAMPLE_ARRAY,37132
GL_INT_SAMPLER_2D_RECT,36301
GL_INT_SAMPLER_3D,36299
GL_INT_SAMPLER_BUFFER,36304
GL_INT_SAMPLER_CUBE,36300
GL_INT_SAMPLER_CUBE_MAP_ARRAY,36878
GL_INT_SAMPLER_CUBE_MAP_ARRAY_ARB,36878
GL_INT_VEC2,35667
GL_INT_VEC3,35668
GL_INT_VEC4,35669
GL_INVALID_ENUM,1280
GL_INVALID_FRAMEBUFFER_OPERATION,1286
GL_INVALID_OPERATION,1282
GL_INVALID_VALUE,1281
GL_INVERT,5386
GL_ISOLINES,36474
GL_IS_PER_PATCH,37607
GL_IS_ROW_MAJOR,37632
GL_KEEP,7680
GL_LAST_VERTEX_CONVENTION,36430
GL_LAYER_PROVOKING_VERTEX,33374
GL_LEFT,1030
GL_LEQUAL,515
GL_LESS,513
GL_LIGHT0,16384
GL_LIGHT1,16385
GL_LIGHT2,16386
GL_LIGHT3,16387
GL_LIGHT4,16388
GL_LIGHT5,16389
GL_LIGHT6,16390
GL_LIGHT7,16391
GL_LIGHTING,2896
GL_LIGHTING_BIT,64
GL_LIGHT_MODEL_AMBIENT,2899
GL_LIGHT_MODEL_LOCAL_VIEWER,2897
GL_LIGHT_MODEL_TWO_SIDE,2898
GL_LINE,6913
GL_LINEAR,9729
GL_LINEAR_ATTENUATION,4616
GL_LINEAR_MIPMAP_LINEAR,9987
GL_LINEAR_MIPMAP_NEAREST,9985
GL_LINES,1
GL_LINES_ADJACENCY,10
GL_LINE_BIT,4
GL_LINE_LOOP,2
GL_LINE_RESET_TOKEN,1799
GL_LINE_SMOOTH,2848
GL_LINE_SMOOTH_HINT,3154
GL_LINE_STIPPLE,2852
GL_LINE_STIPPLE_PATTERN,2853
GL_LINE_STIPPLE_REPEAT,2854
GL_LINE_STRIP,3
GL_LINE_STRIP_ADJACENCY,11
GL_LINE_TOKEN,1794
GL_LINE_WIDTH,2849
GL_LINE_WIDTH_GRANULARITY,2851
GL_LINE_WIDTH_RANGE,2850
GL_LINK_STATUS,35714
GL_LIST_BASE,2866
GL_LIST_BIT,131072
GL_LIST_INDEX,2867
GL_LIST_MODE,2864
GL_LOAD,257
GL_LOCATION,37646
GL_LOCATION_COMPONENT,37706
GL_LOCATION_INDEX,37647
GL_LOGIC_OP_MODE,3056
GL_LOSE_CONTEXT_ON_RESET,33362
GL_LOSE_CONTEXT_ON_RESET_ARB,33362
GL_LOWER_LEFT,36001
GL_LOW_FLOAT,36336
GL_LOW_INT,36339
GL_LUMINANCE,6409
GL_LUMINANCE12,32833
GL_LUMINANCE12_ALPHA12,32839
GL_LUMINANCE12_ALPHA4,32838
GL_LUMINANCE16,32834
GL_LUMINANCE16_ALPHA16,32840
GL_LUMINANCE4,32831
GL_LUMINANCE4_ALPHA4,32835
GL_LUMINANCE6_ALPHA2,32836
GL_LUMINANCE8,32832
GL_LUMINANCE8_ALPHA8,32837
GL_LUMINANCE_ALPHA,6410
GL_MAJOR_VERSION,33307
GL_MANUAL_GENERATE_MIPMAP,33428
GL_MAP1_COLOR_4,3472
GL_MAP1_GRID_DOMAIN,3536
GL_MAP1_GRID_SEGMENTS,3537
GL_MAP1_INDEX,3473
GL_MAP1_NORMAL,3474
GL_MAP1_TEXTURE_COORD_1,3475
GL_MAP1_TEXTURE_COORD_2,3476
GL_MAP1_TEXTURE_COORD_3,3477
GL_MAP1_TEXTURE_COORD_4,3478
GL_MAP1_VERTEX_3,3479
GL_MAP1_VERTEX_4,3480
GL_MAP2_COLOR_4,3504
GL_MAP2_GRID_DOMAIN,3538
GL_MAP2_GRID_SEGMENTS,3539
GL_MAP2_INDEX,3505
GL_MAP2_NORMAL,3506
GL_MAP2_TEXTURE_COORD_1,3507
GL_MAP2_TEXTURE_COORD_2,3508
GL_MAP2_TEXTURE_COORD_3,3509
GL_MAP2_TEXTURE_COORD_4,3510
GL_MAP2_VERTEX_3,3511
GL_MAP2_VERTEX_4,3512
GL_MAP_COHERENT_BIT,128
GL_MAP_COLOR,3344
GL_MAP_FLUSH_EXPLICIT_BIT,16
GL_MAP_INVALIDATE_BUFFER_BIT,8
GL_MAP_INVALIDATE_RANGE_BIT,4
GL_MAP_PERSISTENT_BIT,64
GL_MAP_READ_BIT,1
GL_MAP_STENCIL,3345
GL_MAP_UNSYNCHRONIZED_BIT,32
GL_MAP_WRITE_BIT,2
GL_MATRIX_MODE,2976
GL_MATRIX_STRIDE,37631
GL_MAX,32776
GL_MAX_3D_TEXTURE_SIZE,32883
GL_MAX_ARRAY_TEXTURE_LAYERS,35071
GL_MAX_ATOMIC_COUNTER_BUFFER_BINDINGS,37596
GL_MAX_ATOMIC_COUNTER_BUFFER_SIZE,37592
GL_MAX_ATTRIB_STACK_DEPTH,3381
GL_MAX_CLIENT_ATTRIB_STACK_DEPTH,3387
GL_MAX_CLIP_DISTANCES,3378
GL_MAX_CLIP_PLANES,3378
GL_MAX_COLOR_ATTACHMENTS,36063
GL_MAX_COLOR_TEXTURE_SAMPLES,37134
GL_MAX_COMBINED_ATOMIC_COUNTERS,37591
GL_MAX_COMBINED_ATOMIC_COUNTER_BUFFERS,37585
GL_MAX_COMBINED_CLIP_AND_CULL_DISTANCES,33530
GL_MAX_COMBINED_COMPUTE_UNIFORM_COMPONENTS,33382
GL_MAX_COMBINED_DIMENSIONS,33410
GL_MAX_COMBINED_FRAGMENT_UNIFORM_COMPONENTS,35379
GL_MAX_COMBINED_GEOMETRY_UNIFORM_COMPONENTS,35378
GL_MAX_COMBINED_IMAGE_UNIFORMS,37071
GL_MAX_COMBINED_IMAGE_UNITS_AND_FRAGMENT_OUTPUTS,36665
GL_MAX_COMBINED_SHADER_OUTPUT_RESOURCES,36665
GL_MAX_COMBINED_SHADER_STORAGE_BLOCKS,37084
GL_MAX_COMBINED_TESS_CONTROL_UNIFORM_COMPONENTS,36382
GL_MAX_COMBINED_TESS_EVALUATION_UNIFORM_COMPONENTS,36383
GL_MAX_COMBINED_TEXTURE_IMAGE_UNITS,35661
GL_MAX_COMBINED_UNIFORM_BLOCKS,35374
GL_MAX_COMBINED_VERTEX_UNIFORM_COMPONENTS,35377
GL_MAX_COMPUTE_ATOMIC_COUNTERS,33381
GL_MAX_COMPUTE_ATOMIC_COUNTER_BUFFERS,33380
GL_MAX_COMPUTE_FIXED_GROUP_INVOCATIONS_ARB,37099
GL_MAX_COMPUTE_FIXED_GROUP_SIZE_ARB,37311
GL_MAX_COMPUTE_IMAGE_UNIFORMS,37309
GL_MAX_COMPUTE_SHADER_STORAGE_BLOCKS,37083
GL_MAX_COMPUTE_SHARED_MEMORY_SIZE,33378
GL_MAX_COMPUTE_TEXTURE_IMAGE_UNITS,37308
GL_MAX_COMPUTE_UNIFORM_BLOCKS,37307
GL_MAX_COMPUTE_UNIFORM_COMPONENTS,33379
GL_MAX_COMPUTE_VARIABLE_GROUP_INVOCATIONS_ARB,37700
GL_MAX_COMPUTE_VARIABLE_GROUP_SIZE_ARB,37701
GL_MAX_COMPUTE_WORK_GROUP_COUNT,37310
GL_MAX_COMPUTE_WORK_GROUP_INVOCATIONS,37099
GL_MAX_COMPUTE_WORK_GROUP_SIZE,37311
GL_MAX_CUBE_MAP_TEXTURE_SIZE,34076
GL_MAX_CULL_DISTANCES,33529
GL_MAX_DEBUG_GROUP_STACK_DEPTH,33388
GL_MAX_DEBUG_LOGGED_MESSAGES,37188
GL_MAX_DEBUG_LOGGED_MESSAGES_ARB,37188
GL_MAX_DEBUG_MESSAGE_LENGTH,37187
GL_MAX_DEBUG_MESSAGE_LENGTH_ARB,37187
GL_MAX_DEPTH,33408
GL_MAX_DEPTH_TEXTURE_SAMPLES,37135
GL_MAX_DRAW_BUFFERS,34852
GL_MAX_DUAL_SOURCE_DRAW_BUFFERS,35068
GL_MAX_ELEMENTS_INDICES,33001
GL_MAX_ELEMENTS_INDICES_WIN,33001
GL_MAX_ELEMENTS_VERTICES,33000
GL_MAX_ELEMENTS_VERTICES_WIN,33000
GL_MAX_ELEMENT_INDEX,36203
GL_MAX_EVAL_ORDER,3376
GL_MAX_FRAGMENT_ATOMIC_COUNTERS,37590
GL_MAX_FRAGMENT_ATOMIC_COUNTER_BUFFERS,37584
GL_MAX_FRAGMENT_IMAGE_UNIFORMS,37070
GL_MAX_FRAGMENT_INPUT_COMPONENTS,37157
GL_MAX_FRAGMENT_INTERPOLATION_OFFSET,36444
GL_MAX_FRAGMENT_SHADER_STORAGE_BLOCKS,37082
GL_MAX_FRAGMENT_UNIFORM_BLOCKS,35373
GL_MAX_FRAGMENT_UNIFORM_COMPONENTS,35657
GL_MAX_FRAGMENT_UNIFORM_VECTORS,36349
GL_MAX_FRAMEBUFFER_HEIGHT,37654
GL_MAX_FRAMEBUFFER_LAYERS,37655
GL_MAX_FRAMEBUFFER_SAMPLES,37656
GL_MAX_FRAMEBUFFER_WIDTH,37653
GL_MAX_GEOMETRY_ATOMIC_COUNTERS,37589
GL_MAX_GEOMETRY_ATOMIC_COUNTER_BUFFERS,37583
GL_MAX_GEOMETRY_IMAGE_UNIFORMS,37069
GL_MAX_GEOMETRY_INPUT_COMPONENTS,37155
GL_MAX_GEOMETRY_OUTPUT_COMPONENTS,37156
GL_MAX_GEOMETRY_OUTPUT_VERTICES,36320
GL_MAX_GEOMETRY_SHADER_INVOCATIONS,36442
GL_MAX_GEOMETRY_SHADER_STORAGE_BLOCKS,37079
GL_MAX_GEOMETRY_TEXTURE_IMAGE_UNITS,35881
GL_MAX_GEOMETRY_TOTAL_OUTPUT_COMPONENTS,36321
GL_MAX_GEOMETRY_UNIFORM_BLOCKS,35372
GL_MAX_GEOMETRY_UNIFORM_COMPONENTS,36319
GL_MAX_HEIGHT,33407
GL_MAX_IMAGE_SAMPLES,36973
GL_MAX_IMAGE_UNITS,36664
GL_MAX_INTEGER_SAMPLES,37136
GL_MAX_LABEL_LENGTH,33512
GL_MAX_LAYERS,33409
GL_MAX_LIGHTS,3377
GL_MAX_LIST_NESTING,2865
GL_MAX_MODELVIEW_STACK_DEPTH,3382
GL_MAX_NAME_LENGTH,37622
GL_MAX_NAME_STACK_DEPTH,3383
GL_MAX_NUM_ACTIVE_VARIABLES,37623
GL_MAX_NUM_COMPATIBLE_SUBROUTINES,37624
GL_MAX_PATCH_VERTICES,36477
GL_MAX_PIXEL_MAP_TABLE,3380
GL_MAX_PROGRAM_TEXEL_OFFSET,35077
GL_MAX_PROGRAM_TEXTURE_GATHER_COMPONENTS_ARB,36767
GL_MAX_PROGRAM_TEXTURE_GATHER_OFFSET,36447
GL_MAX_PROGRAM_TEXTURE_GATHER_OFFSET_ARB,36447
GL_MAX_PROJECTION_STACK_DEPTH,3384
GL_MAX_RECTANGLE_TEXTURE_SIZE,34040
GL_MAX_RENDERBUFFER_SIZE,34024
GL_MAX_SAMPLES,36183
GL_MAX_SAMPLE_MASK_WORDS,36441
GL_MAX_SERVER_WAIT_TIMEOUT,37137
GL_MAX_SHADER_STORAGE_BLOCK_SIZE,37086
GL_MAX_SHADER_STORAGE_BUFFER_BINDINGS,37085
GL_MAX_SPARSE_3D_TEXTURE_SIZE_ARB,37273
GL_MAX_SPARSE_ARRAY_TEXTURE_LAYERS_ARB,37274
GL_MAX_SPARSE_TEXTURE_SIZE_ARB,37272
GL_MAX_SUBROUTINES,36327
GL_MAX_SUBROUTINE_UNIFORM_LOCATIONS,36328
GL_MAX_TESS_CONTROL_ATOMIC_COUNTERS,37587
GL_MAX_TESS_CONTROL_ATOMIC_COUNTER_BUFFERS,37581
GL_MAX_TESS_CONTROL_IMAGE_UNIFORMS,37067
GL_MAX_TESS_CONTROL_INPUT_COMPONENTS,34924
GL_MAX_TESS_CONTROL_OUTPUT_COMPONENTS,36483
GL_MAX_TESS_CONTROL_SHADER_STORAGE_BLOCKS,37080
GL_MAX_TESS_CONTROL_TEXTURE_IMAGE_UNITS,36481
GL_MAX_TESS_CONTROL_TOTAL_OUTPUT_COMPONENTS,36485
GL_MAX_TESS_CONTROL_UNIFORM_BLOCKS,36489
GL_MAX_TESS_CONTROL_UNIFORM_COMPONENTS,36479
GL_MAX_TESS_EVALUATION_ATOMIC_COUNTERS,37588
GL_MAX_TESS_EVALUATION_ATOMIC_COUNTER_BUFFERS,37582
GL_MAX_TESS_EVALUATION_IMAGE_UNIFORMS,37068
GL_MAX_TESS_EVALUATION_INPUT_COMPONENTS,34925
GL_MAX_TESS_EVALUATION_OUTPUT_COMPONENTS,36486
GL_MAX_TESS_EVALUATION_SHADER_STORAGE_BLOCKS,37081
GL_MAX_TESS_EVALUATION_TEXTURE_IMAGE_UNITS,36482
GL_MAX_TESS_EVALUATION_UNIFORM_BLOCKS,36490
GL_MAX_TESS_EVALUATION_UNIFORM_COMPONENTS,36480
GL_MAX_TESS_GEN_LEVEL,36478
GL_MAX_TESS_PATCH_COMPONENTS,36484
GL_MAX_TEXTURE_BUFFER_SIZE,35883
GL_MAX_TEXTURE_IMAGE_UNITS,34930
GL_MAX_TEXTURE_LOD_BIAS,34045
GL_MAX_TEXTURE_SIZE,3379
GL_MAX_TEXTURE_STACK_DEPTH,3385
GL_MAX_TRANSFORM_FEEDBACK_BUFFERS,36464
GL_MAX_TRANSFORM_FEEDBACK_INTERLEAVED_COMPONENTS,35978
GL_MAX_TRANSFORM_FEEDBACK_SEPARATE_ATTRIBS,35979
GL_MAX_TRANSFORM_FEEDBACK_SEPARATE_COMPONENTS,35968
GL_MAX_UNIFORM_BLOCK_SIZE,35376
GL_MAX_UNIFORM_BUFFER_BINDINGS,35375
GL_MAX_UNIFORM_LOCATIONS,33390
GL_MAX_VARYING_COMPONENTS,35659
GL_MAX_VARYING_FLOATS,35659
GL_MAX_VARYING_VECTORS,36348
GL_MAX_VERTEX_ATOMIC_COUNTERS,37586
GL_MAX_VERTEX_ATOMIC_COUNTER_BUFFERS,37580
GL_MAX_VERTEX_ATTRIBS,34921
GL_MAX_VERTEX_ATTRIB_BINDINGS,33498
GL_MAX_VERTEX_ATTRIB_RELATIVE_OFFSET,33497
GL_MAX_VERTEX_ATTRIB_STRIDE,33509
GL_MAX_VERTEX_IMAGE_UNIFORMS,37066
GL_MAX_VERTEX_OUTPUT_COMPONENTS,37154
GL_MAX_VERTEX_SHADER_STORAGE_BLOCKS,37078
GL_MAX_VERTEX_STREAMS,36465
GL_MAX_VERTEX_TEXTURE_IMAGE_UNITS,35660
GL_MAX_VERTEX_UNIFORM_BLOCKS,35371
GL_MAX_VERTEX_UNIFORM_COMPONENTS,35658
GL_MAX_VERTEX_UNIFORM_VECTORS,36347
GL_MAX_VIEWPORTS,33371
GL_MAX_VIEWPORT_DIMS,3386
GL_MAX_WIDTH,33406
GL_MEDIUM_FLOAT,36337
GL_MEDIUM_INT,36340
GL_MIN,32775
GL_MINOR_VERSION,33308
GL_MIN_FRAGMENT_INTERPOLATION_OFFSET,36443
GL_MIN_MAP_BUFFER_ALIGNMENT,37052
GL_MIN_PROGRAM_TEXEL_OFFSET,35076
GL_MIN_PROGRAM_TEXTURE_GATHER_OFFSET,36446
GL_MIN_PROGRAM_TEXTURE_GATHER_OFFSET_ARB,36446
GL_MIN_SAMPLE_SHADING_VALUE,35895
GL_MIN_SAMPLE_SHADING_VALUE_ARB,35895
GL_MIPMAP,33427
GL_MIRRORED_REPEAT,33648
GL_MIRROR_CLAMP_TO_EDGE,34627
GL_MODELVIEW,5888
GL_MODELVIEW_MATRIX,2982
GL_MODELVIEW_STACK_DEPTH,2979
GL_MODULATE,8448
GL_MULT,259
GL_MULTISAMPLE,32925
GL_N3F_V3F,10789
GL_NAMED_STRING_LENGTH_ARB,36329
GL_NAMED_STRING_TYPE_ARB,36330
GL_NAME_LENGTH,37625
GL_NAME_STACK_DEPTH,3440
GL_NAND,5390
GL_NEAREST,9728
GL_NEAREST_MIPMAP_LINEAR,9986
GL_NEAREST_MIPMAP_NEAREST,9984
GL_NEGATIVE_ONE_TO_ONE,37726
GL_NEVER,512
GL_NICEST,4354
GL_NONE,0
GL_NOOP,5381
GL_NOR,5384
GL_NORMALIZE,2977
GL_NORMAL_ARRAY,32885
GL_NORMAL_ARRAY_COUNT_EXT,32896
GL_NORMAL_ARRAY_EXT,32885
GL_NORMAL_ARRAY_POINTER,32911
GL_NORMAL_ARRAY_POINTER_EXT,32911
GL_NORMAL_ARRAY_STRIDE,32895
GL_NORMAL_ARRAY_STRIDE_EXT,32895
GL_NORMAL_ARRAY_TYPE,32894
GL_NORMAL_ARRAY_TYPE_EXT,32894
GL_NOTEQUAL,517
GL_NO_ERROR,0
GL_NO_RESET_NOTIFICATION,33377
GL_NO_RESET_NOTIFICATION_ARB,33377
GL_NUM_ACTIVE_VARIABLES,37636
GL_NUM_COMPATIBLE_SUBROUTINES,36426
GL_NUM_COMPRESSED_TEXTURE_FORMATS,34466
GL_NUM_EXTENSIONS,33309
GL_NUM_PROGRAM_BINARY_FORMATS,34814
GL_NUM_SAMPLE_COUNTS,37760
GL_NUM_SHADER_BINARY_FORMATS,36345
GL_NUM_SHADING_LANGUAGE_VERSIONS,33513
GL_NUM_SPARSE_LEVELS_ARB,37290
GL_NUM_VIRTUAL_PAGE_SIZES_ARB,37288
GL_OBJECT_LINEAR,9217
GL_OBJECT_PLANE,9473
GL_OBJECT_TYPE,37138
GL_OFFSET,37628
GL_ONE,1
GL_ONE_MINUS_CONSTANT_ALPHA,32772
GL_ONE_MINUS_CONSTANT_COLOR,32770
GL_ONE_MINUS_DST_ALPHA,773
GL_ONE_MINUS_DST_COLOR,775
GL_ONE_MINUS_SRC1_ALPHA,35067
GL_ONE_MINUS_SRC1_COLOR,35066
GL_ONE_MINUS_SRC_ALPHA,771
GL_ONE_MINUS_SRC_COLOR,769
GL_OR,5383
GL_ORDER,2561
GL_OR_INVERTED,5389
GL_OR_REVERSE,5387
GL_OUT_OF_MEMORY,1285
GL_PACK_ALIGNMENT,3333
GL_PACK_COMPRESSED_BLOCK_DEPTH,37165
GL_PACK_COMPRESSED_BLOCK_HEIGHT,37164
GL_PACK_COMPRESSED_BLOCK_SIZE,37166
GL_PACK_COMPRESSED_BLOCK_WIDTH,37163
GL_PACK_IMAGE_HEIGHT,32876
GL_PACK_LSB_FIRST,3329
GL_PACK_ROW_LENGTH,3330
GL_PACK_SKIP_IMAGES,32875
GL_PACK_SKIP_PIXELS,3332
GL_PACK_SKIP_ROWS,3331
GL_PACK_SWAP_BYTES,3328
GL_PARAMETER_BUFFER_ARB,33006
GL_PARAMETER_BUFFER_BINDING_ARB,33007
GL_PASS_THROUGH_TOKEN,1792
GL_PATCHES,14
GL_PATCH_DEFAULT_INNER_LEVEL,36467
GL_PATCH_DEFAULT_OUTER_LEVEL,36468
GL_PATCH_VERTICES,36466
GL_PERSPECTIVE_CORRECTION_HINT,3152
GL_PHONG_HINT_WIN,33003
GL_PHONG_WIN,33002
GL_PIXEL_BUFFER_BARRIER_BIT,128
GL_PIXEL_MAP_A_TO_A,3193
GL_PIXEL_MAP_A_TO_A_SIZE,3257
GL_PIXEL_MAP_B_TO_B,3192
GL_PIXEL_MAP_B_TO_B_SIZE,3256
GL_PIXEL_MAP_G_TO_G,3191
GL_PIXEL_MAP_G_TO_G_SIZE,3255
GL_PIXEL_MAP_I_TO_A,3189
GL_PIXEL_MAP_I_TO_A_SIZE,3253
GL_PIXEL_MAP_I_TO_B,3188
GL_PIXEL_MAP_I_TO_B_SIZE,3252
GL_PIXEL_MAP_I_TO_G,3187
GL_PIXEL_MAP_I_TO_G_SIZE,3251
GL_PIXEL_MAP_I_TO_I,3184
GL_PIXEL_MAP_I_TO_I_SIZE,3248
GL_PIXEL_MAP_I_TO_R,3186
GL_PIXEL_MAP_I_TO_R_SIZE,3250
GL_PIXEL_MAP_R_TO_R,3190
GL_PIXEL_MAP_R_TO_R_SIZE,3254
GL_PIXEL_MAP_S_TO_S,3185
GL_PIXEL_MAP_S_TO_S_SIZE,3249
GL_PIXEL_MODE_BIT,32
GL_PIXEL_PACK_BUFFER,35051
GL_PIXEL_PACK_BUFFER_BINDING,35053
GL_PIXEL_UNPACK_BUFFER,35052
GL_PIXEL_UNPACK_BUFFER_BINDING,35055
GL_POINT,6912
GL_POINTS,0
GL_POINT_BIT,2
GL_POINT_FADE_THRESHOLD_SIZE,33064
GL_POINT_SIZE,2833
GL_POINT_SIZE_GRANULARITY,2835
GL_POINT_SIZE_RANGE,2834
GL_POINT_SMOOTH,2832
GL_POINT_SMOOTH_HINT,3153
GL_POINT_SPRITE_COORD_ORIGIN,36000
GL_POINT_TOKEN,1793
GL_POLYGON,9
GL_POLYGON_BIT,8
GL_POLYGON_MODE,2880
GL_POLYGON_OFFSET_FACTOR,32824
GL_POLYGON_OFFSET_FILL,32823
GL_POLYGON_OFFSET_LINE,10754
GL_POLYGON_OFFSET_POINT,10753
GL_POLYGON_OFFSET_UNITS,10752
GL_POLYGON_SMOOTH,2881
GL_POLYGON_SMOOTH_HINT,3155
GL_POLYGON_STIPPLE,2882
GL_POLYGON_STIPPLE_BIT,16
GL_POLYGON_TOKEN,1795
GL_POSITION,4611
GL_PRIMITIVES_GENERATED,35975
GL_PRIMITIVES_SUBMITTED_ARB,33519
GL_PRIMITIVE_RESTART,36765
GL_PRIMITIVE_RESTART_FIXED_INDEX,36201
GL_PRIMITIVE_RESTART_FOR_PATCHES_SUPPORTED,33313
GL_PRIMITIVE_RESTART_INDEX,36766
GL_PROGRAM,33506
GL_PROGRAM_BINARY_FORMATS,34815
GL_PROGRAM_BINARY_LENGTH,34625
GL_PROGRAM_BINARY_RETRIEVABLE_HINT,33367
GL_PROGRAM_INPUT,37603
GL_PROGRAM_OUTPUT,37604
GL_PROGRAM_PIPELINE,33508
GL_PROGRAM_PIPELINE_BINDING,33370
GL_PROGRAM_POINT_SIZE,34370
GL_PROGRAM_SEPARABLE,33368
GL_PROJECTION,5889
GL_PROJECTION_MATRIX,2983
GL_PROJECTION_STACK_DEPTH,2980
GL_PROVOKING_VERTEX,36431
GL_PROXY_TEXTURE_1D,32867
GL_PROXY_TEXTURE_1D_ARRAY,35865
GL_PROXY_TEXTURE_2D,32868
GL_PROXY_TEXTURE_2D_ARRAY,35867
GL_PROXY_TEXTURE_2D_MULTISAMPLE,37121
GL_PROXY_TEXTURE_2D_MULTISAMPLE_ARRAY,37123
GL_PROXY_TEXTURE_3D,32880
GL_PROXY_TEXTURE_CUBE_MAP,34075
GL_PROXY_TEXTURE_CUBE_MAP_ARRAY,36875
GL_PROXY_TEXTURE_CUBE_MAP_ARRAY_ARB,36875
GL_PROXY_TEXTURE_RECTANGLE,34039
GL_Q,8195
GL_QUADRATIC_ATTENUATION,4617
GL_QUADS,7
GL_QUADS_FOLLOW_PROVOKING_VERTEX_CONVENTION,36428
GL_QUAD_STRIP,8
GL_QUERY,33507
GL_QUERY_BUFFER,37266
GL_QUERY_BUFFER_BARRIER_BIT,32768
GL_QUERY_BUFFER_BINDING,37267
GL_QUERY_BY_REGION_NO_WAIT,36374
GL_QUERY_BY_REGION_NO_WAIT_INVERTED,36378
GL_QUERY_BY_REGION_WAIT,36373
GL_QUERY_BY_REGION_WAIT_INVERTED,36377
GL_QUERY_COUNTER_BITS,34916
GL_QUERY_NO_WAIT,36372
GL_QUERY_NO_WAIT_INVERTED,36376
GL_QUERY_RESULT,34918
GL_QUERY_RESULT_AVAILABLE,34919
GL_QUERY_RESULT_NO_WAIT,37268
GL_QUERY_TARGET,33514
GL_QUERY_WAIT,36371
GL_QUERY_WAIT_INVERTED,36375
GL_R,8194
GL_R11F_G11F_B10F,35898
GL_R16,33322
GL_R16F,33325
GL_R16I,33331
GL_R16UI,33332
GL_R16_SNORM,36760
GL_R32F,33326
GL_R32I,33333
GL_R32UI,33334
GL_R3_G3_B2,10768
GL_R8,33321
GL_R8I,33329
GL_R8UI,33330
GL_R8_SNORM,36756
GL_RASTERIZER_DISCARD,35977
GL_READ_BUFFER,3074
GL_READ_FRAMEBUFFER,36008
GL_READ_FRAMEBUFFER_BINDING,36010
GL_READ_ONLY,35000
GL_READ_PIXELS,33420
GL_READ_PIXELS_FORMAT,33421
GL_READ_PIXELS_TYPE,33422
GL_READ_WRITE,35002
GL_RED,6403
GL_RED_BIAS,3349
GL_RED_BITS,3410
GL_RED_INTEGER,36244
GL_RED_SCALE,3348
GL_REFERENCED_BY_COMPUTE_SHADER,37643
GL_REFERENCED_BY_FRAGMENT_SHADER,37642
GL_REFERENCED_BY_GEOMETRY_SHADER,37641
GL_REFERENCED_BY_TESS_CONTROL_SHADER,37639
GL_REFERENCED_BY_TESS_EVALUATION_SHADER,37640
GL_REFERENCED_BY_VERTEX_SHADER,37638
GL_RENDER,7168
GL_RENDERBUFFER,36161
GL_RENDERBUFFER_ALPHA_SIZE,36179
GL_RENDERBUFFER_BINDING,36007
GL_RENDERBUFFER_BLUE_SIZE,36178
GL_RENDERBUFFER_DEPTH_SIZE,36180
GL_RENDERBUFFER_GREEN_SIZE,36177
GL_RENDERBUFFER_HEIGHT,36163
GL_RENDERBUFFER_INTERNAL_FORMAT,36164
GL_RENDERBUFFER_RED_SIZE,36176
GL_RENDERBUFFER_SAMPLES,36011
GL_RENDERBUFFER_STENCIL_SIZE,36181
GL_RENDERBUFFER_WIDTH,36162
GL_RENDERER,7937
GL_RENDER_MODE,3136
GL_REPEAT,10497
GL_REPLACE,7681
GL_RESET_NOTIFICATION_STRATEGY,33366
GL_RESET_NOTIFICATION_STRATEGY_ARB,33366
GL_RETURN,258
GL_RG,33319
GL_RG16,33324
GL_RG16F,33327
GL_RG16I,33337
GL_RG16UI,33338
GL_RG16_SNORM,36761
GL_RG32F,33328
GL_RG32I,33339
GL_RG32UI,33340
GL_RG8,33323
GL_RG8I,33335
GL_RG8UI,33336
GL_RG8_SNORM,36757
GL_RGB,6407
GL_RGB10,32850
GL_RGB10_A2,32857
GL_RGB10_A2UI,36975
GL_RGB12,32851
GL_RGB16,32852
GL_RGB16F,34843
GL_RGB16I,36233
